twitterID,followers,following,actions,isretweet,Type,tweetContentLength,hasURL,similarity,perCapWords
1,839.0,453.0,3081.0,1.0,Spam,19,1,0,0.0
10,13220.0,14062.0,44430.0,0.0,Spam,11,0,0,9.090909090909092
10000,1966.0,2719.0,3939.0,1.0,Spam,14,1,0,0.0
10003,0.0,0.0,38.0,0.0,Quality,12,1,0,0.0
10004,72966.0,70365.0,6784.0,0.0,Spam,25,1,0,0.0
10005,12830.0,7848.0,12010.0,0.0,Spam,9,0,0,0.0
10006,23104.0,11300.0,27584.0,0.0,Spam,13,1,0,7.6923076923076925
10007,490.0,360.0,1467.0,1.0,Spam,16,1,0,31.25
10008,2321.0,977.0,3979.0,0.0,Spam,9,1,0,33.33333333333333
10010,3324.0,3239.0,4562.0,0.0,Spam,11,1,0,0.0
10013,2255.0,1479.0,10222.0,1.0,Spam,12,1,0,0.0
10014,562.0,1572.0,975.0,0.0,Spam,10,1,0,0.0
10020,25356.0,4283.0,43857.0,0.0,Spam,5,1,0,0.0
10021,16727.0,7206.0,16322.0,0.0,Spam,10,1,0,0.0
10022,1818.0,1501.0,1863.0,1.0,Spam,13,1,0,15.384615384615385
10023,231.0,96.0,971.0,1.0,Spam,17,1,0,5.88235294117647
10025,520.0,855.0,1099.0,1.0,Spam,6,1,0,0.0
10027,15316.0,6864.0,25585.0,0.0,Spam,16,1,0,0.0
10029,2879.0,2665.0,3955.0,1.0,Spam,8,0,0,0.0
1003,0.0,0.0,64.0,0.0,Quality,18,1,0,0.0
10030,0.0,0.0,0.0,0.0,Quality,12,1,0,8.333333333333332
10031,11264.0,10221.0,23730.0,0.0,Spam,7,1,0,0.0
10032,2169.0,2924.0,4149.0,1.0,Spam,14,1,0,0.0
10034,0.0,0.0,0.0,0.0,Quality,4,1,0,0.0
10037,620.0,2939.0,258.0,0.0,Spam,16,1,0,18.75
10038,18552.0,5007.0,20391.0,0.0,Spam,15,1,0,0.0
1004,0.0,0.0,0.0,0.0,Quality,11,1,0,9.090909090909092
10040,1116.0,421.0,1524.0,0.0,Spam,9,0,0,0.0
10041,12906.0,8013.0,12807.0,0.0,Spam,8,0,0,0.0
10042,20500.0,0.0,0.0,0.0,Quality,10,1,0,0.0
10043,159.0,74.0,7313.0,1.0,Spam,12,0,0,8.333333333333332
10044,1066.0,683.0,1030.0,0.0,Spam,11,0,0,0.0
10045,12140.0,5984.0,8144.0,0.0,Spam,15,0,0,0.0
10046,0.0,0.0,0.0,0.0,Quality,8,1,0,0.0
10047,0.0,0.0,0.0,0.0,Quality,17,1,0,0.0
10048,1870.0,2276.0,2763.0,0.0,Spam,14,0,0,0.0
1005,19496.0,7071.0,38017.0,0.0,Spam,10,1,0,0.0
10056,2822.0,1888.0,532.0,0.0,Spam,14,1,0,0.0
10057,0.0,0.0,0.0,0.0,Quality,15,1,0,0.0
10058,761.0,2950.0,935.0,0.0,Spam,14,1,0,0.0
10059,18942.0,8732.0,17273.0,0.0,Spam,16,1,0,0.0
10061,904.0,842.0,2857.0,1.0,Spam,26,0,0,3.8461538461538463
10063,769.0,411.0,6044.0,1.0,Spam,7,1,0,0.0
10064,0.0,0.0,6.0,0.0,Quality,14,0,0,0.0
10065,1534.0,2382.0,1219.0,0.0,Spam,12,1,0,33.33333333333333
10066,896.0,824.0,10134.0,1.0,Spam,13,0,0,0.0
10068,867.0,1126.0,2486.0,1.0,Spam,18,1,0,5.555555555555555
10069,0.0,0.0,0.0,0.0,Quality,2,0,0,0.0
1007,19641.0,6533.0,14734.0,0.0,Spam,11,1,0,0.0
10070,29800.0,0.0,15.0,0.0,Quality,13,1,0,0.0
10071,2965.0,3211.0,5908.0,1.0,Spam,5,0,0,0.0
10073,0.0,0.0,3.0,0.0,Quality,22,0,0,4.545454545454546
10074,25309.0,5524.0,48036.0,0.0,Spam,10,1,0,0.0
10075,2720.0,2433.0,1642.0,1.0,Spam,14,1,0,0.0
10077,737.0,743.0,2636.0,1.0,Spam,16,1,0,0.0
10078,22245.0,5083.0,12731.0,0.0,Spam,21,0,0,4.761904761904762
10080,26105.0,17665.0,37285.0,0.0,Spam,10,0,0,0.0
10081,60.0,53.0,69.0,0.0,Spam,9,0,0,0.0
10083,955.0,2965.0,6698.0,0.0,Spam,19,1,0,10.526315789473683
10084,15354.0,6272.0,23653.0,0.0,Spam,9,1,0,11.11111111111111
10085,942.0,1225.0,3680.0,1.0,Spam,7,1,0,28.57142857142857
10086,16856.0,5149.0,31935.0,0.0,Spam,9,1,0,0.0
10090,1070.0,2001.0,4046.0,0.0,Spam,13,1,0,0.0
10092,0.0,0.0,0.0,0.0,Quality,10,1,0,0.0
10094,4115.0,4289.0,351.0,0.0,Spam,12,1,0,8.333333333333332
10095,16.0,276.0,302.0,0.0,Spam,22,0,0,0.0
10097,21682.0,13376.0,52876.0,0.0,Spam,11,1,0,0.0
10098,135.0,62.0,14669.0,1.0,Spam,2,1,0,50.0
10099,0.0,0.0,0.0,0.0,Quality,17,1,0,5.88235294117647
101,17163.0,11381.0,4556.0,0.0,Spam,9,0,0,11.11111111111111
1010,2302.0,1479.0,9797.0,1.0,Spam,21,1,0,9.523809523809524
10100,0.0,0.0,0.0,0.0,Quality,7,1,0,0.0
10101,23863.0,2832.0,1979.0,0.0,Spam,12,0,0,0.0
10102,0.0,0.0,0.0,0.0,Quality,13,1,0,7.6923076923076925
10103,13269.0,14358.0,20366.0,0.0,Spam,9,0,0,0.0
10105,78100.0,0.0,17.0,0.0,Quality,23,1,0,4.3478260869565215
10107,146.0,74.0,2950.0,1.0,Spam,6,0,0,0.0
10109,11259.0,10135.0,31018.0,0.0,Spam,6,1,0,0.0
1011,0.0,0.0,102.0,0.0,Spam,12,0,0,8.333333333333332
10111,14506.0,9246.0,13393.0,0.0,Spam,11,0,0,0.0
10112,878.0,752.0,2831.0,1.0,Spam,18,0,0,0.0
10113,555.0,590.0,1140.0,1.0,Spam,20,1,0,10.0
